产品名称;产品编码;规格型号;库位号;成本价;销售价;寄卖时间点;保留价;地区;收货人;客户;到库时间;结款日期;计量单位;上期结存(数量);本期收入(数量);本期发出(数量);本期结存(数量)
宝格丽手提包35.5*42*10 ;BE002 ;防尘袋 说明书 保卡 ; ;3800 ; ; ; ;上海 ;微信岚岚 ;P0141 ;(是)2016/11/1 ; ;个 ;1 ;0 ;0 ;1 
celine软皮大包39*31*13 ;BE006 ;无 ; ;2200 ; ; ; ;上海 ;兰岚 ;P0141 ;（是）2016/11/1 ; ;个 ;1 ;0 ;0 ;1 
全新LV珠光玫红 ;BE007 ;防尘袋、肩带、说明书 ; ;3500 ;3500 ; ; ;厦门 ;颜熹 ;颜熹 ;（是）2015/4/30 ; ;个 ;1 ;0 ;0 ;1 
93新Chanel驼色羊皮铁链包 ;BE012 ;身份卡 ; ;6500 ;6800 ; ; ;厦门 ; ;P0166 ;（是）2015/5/4 ; ;个 ;1 ;0 ;0 ;1 
未使用Balenciaga iPad保护套 ;BE014 ;吊牌、说明书、卡、配皮 ; ;900 ;999 ;990 ; ;上海 ;颜熹 ;颜熹 ;（是）2016/1/10 ; ;个 ;1 ;0 ;0 ;1 
全新Stella气质灰银色链条包 ;BE017 ;防尘袋 说明卡 ; ;4000 ;4500 ;4400 ; ;厦门 ; ;C00858 ;（是）2016/1/12 ; ;个 ;1 ;0 ;0 ;1 
95新以上CL黑色铆钉手提包 ;BE035 ;无 ; ;4300 ;4999 ;4800 ; ;厦门 ; ;C01156 ;（是）2016/7/24 ; ;个 ;1 ;0 ;0 ;1 
93新以上LV单肩包 ;BE036 ;防尘袋 ; ;1500 ;1999 ;1900 ; ;上海 ; ;C00435 ;（是）2016/8/3 ; ;个 ;1 ;0 ;0 ;1 
全新MOSCHINO单肩包 ;BE038 ;防尘袋、说明书 ; ;1200 ;1800 ;1800 ; ;上海 ; ;C00769 ;（是）2016/8/3 ; ;个 ;1 ;0 ;0 ;1 
95新以上PP鳄鱼纹手提单肩斜挎三用包 ;BE024 ;肩带、钥匙、锁 ; ;3600 ;4999 ;4500 ; ;上海 ; ;C01002 ;（是）2016/4/27 ; ;个 ;1 ;0 ;0 ;1 
全新 hermes方巾135*135 ;BH027 ;无 ; ;3000 ;4999 ; ; ;上海 ;颜（寄卖） ;C00931 ;（是）2016/11/3 ; ;个 ;1 ;0 ;0 ;1 
ysl围巾 ;BH015 ;无 ; ;1000 ; ; ; ;上海 ;兰岚 ;C00769 ;（是）2016/10/19 ; ;条 ;1 ;0 ;0 ;1 
chanel围巾 ;BH009 ;盒子、丝带 ; ;2200 ; ; ; ;上海 ; ;C00769 ;（是）2016/8/11 ; ;个 ;1 ;0 ;0 ;1 
二手GUCCI围巾 ;BH029 ;无 ; ;600 ; ; ; ;上海 ;微信兰岚 ;C00665 ;（是）2017/1/5 ; ;个 ;1 ;0 ;0 ;1 
9新左右LV 手提包 ;BE065 ;无 ; ;2000 ; ; ; ;上海 ;兰岚 ;P0311 ;（是）2016/9/16 ; ;个 ;1 ;0 ;0 ;1 
9新左右LV 手提包 ;BE067 ;无 ; ;1500 ; ; ; ;上海 ;微信兰岚 ;P0311 ;（是）2016/9/14 ; ;个 ;1 ;0 ;0 ;1 
85新LV 手提包 ;BE070 ;无 ; ;3000 ; ; ;3300 ;上海 ;兰岚 ;P0311 ;（是）2016/9/14 ; ;个 ;1 ;0 ;0 ;1 
93新以上Chloe蓝绿色单肩手提包 ;BE115 ;防尘袋、肩带、说明书、吊牌、卡片 ; ;2500 ;2500 ;2500 ; ;厦门 ;颜熹 ;颜熹 ;（是）2016/2/29 ; ;个 ;1 ;0 ;0 ;1 
9新以上Chanel vintage黑色漆皮大金 ;BE119 ;无 ; ;6000 ;7999 ;9500 ; ;厦门 ;颜熹 ;颜熹 ;2016/4/6 ; ;个 ;1 ;0 ;0 ;1 
